_id,Question,Category
5f714dea3cd0e4279c275df7,請問本校讀者如何利用「自動化書庫特殊館藏」、「自動化書庫參考書」？,0
5f714dea3cd0e4279c275df8,無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎？,0
5f714dea3cd0e4279c275df9,自動化書庫在哪裡？,1
5f714dea3cd0e4279c275dfa,本校讀者預約自動化書庫的館藏，多久後可以取書？,0
5f714dea3cd0e4279c275dfb,請問本校讀者如何利用自動化書庫的一般館藏？,0
5f714dea3cd0e4279c275dfc,為什麼圖書館不接受我的預約？,0
5f714dea3cd0e4279c275dfd,查詢國內外博碩士論文資料應使用那些資料庫？,2
5f714dea3cd0e4279c275dfe,請問如何調閱閉架書庫的圖書和期刊？（研圖、舊總圖、總圖B1專藏文庫、總圖B1閉架書庫、徐州閉架書庫）,1
5f714dea3cd0e4279c275dff,我的畢業論文不到20頁，要放在書背側邊的校名與系所有兩行字、論文題目也很長，請問應如何調整內容以利印製？,3
5f714dea3cd0e4279c275e00,送印紙本論文須注意哪些項目？,3
5f714dea3cd0e4279c275e01,畢業論文的字體大小和版面間距，一定要按格式規範的尺寸嗎？,3
5f714dea3cd0e4279c275e02,畢業論文多少頁以下才可以單面印刷？,3
5f714dea3cd0e4279c275e03,我想查的台大博碩士論文沒有電子全文怎麼辦？,1
5f714dea3cd0e4279c275e04,畢業論文封面和內文格式的相關規定？,3
5f714dea3cd0e4279c275e05,請問博碩士論文在哪裡？,1
5f714dea3cd0e4279c275e06,總圖書館的公共電話在哪裡？（投幣式、IC卡式）,4
5f714dea3cd0e4279c275e07,常見的館藏地/館藏狀態資訊 (SLIM雲端圖書館自動化系統),5
5f714dea3cd0e4279c275e08,如何自行於線上續借？,0
5f714dea3cd0e4279c275e09,Airiti 華藝線上圖書館透過校外連線VPN無法下載文獻，怎麼辦？,6
5f714dea3cd0e4279c275e0a,Airiti 華藝線上圖書館的登入問題,6
5f714dea3cd0e4279c275e0b,查詢新聞報紙應使用那些資料庫？,6
5f714dea3cd0e4279c275e0c,VPN一直停在「正在保護連線安全」狀態，如何解決？,7
5f714dea3cd0e4279c275e0d,已經登入並連上VPN，但之後無法連上網頁，會反覆重新連線？,7
5f714dea3cd0e4279c275e0e,設定校外連線 VPN 後網路就斷了？,7
5f714dea3cd0e4279c275e0f,VPN出現「未能連線至 pulse secure統一網路服務」的錯誤訊息？,7
5f714dea3cd0e4279c275e10,我的電腦只有Adobe Reader版，哪裡有 Adobe Acrobat Pro軟體可進行論文加浮水印、DOI碼？,4
5f714dea3cd0e4279c275e11,請問書籍狀態是「交辦公室處理」是什麼意思?,1
5f714dea3cd0e4279c275e12,SLIM館藏目錄上顯示「目前不可獲得」？,5
5f714dea3cd0e4279c275e13,線上續借或預約圖書時，忘記密碼了，怎麼辦？,5
5f714dea3cd0e4279c275e14,多媒體中心的視聽資料可以透過校內圖書代借、館際合作申請借出嗎？,0
5f714dea3cd0e4279c275e15,持「館際合作借書證」可以到總圖以外的分館、系所圖書室借書嗎？,8
5f714dea3cd0e4279c275e16,外校人士持實體館際合作互借證至本館申請館際互借之閱覽規則？,8
5f714dea3cd0e4279c275e17,其他單位向本館申請館際合作的收費標準？,8
5f714dea3cd0e4279c275e18,外校讀者用「館際合作借書證」外借的書，可以續借嗎？,8
5f714dea3cd0e4279c275e19,為什麼校友無法用計中帳密登入SLIM雲端圖書館自動化系統？,5
5f714dea3cd0e4279c275e1a,外借的書可以續借幾次？,0
5f714dea3cd0e4279c275e1b,借閱的圖書何時可以辦理續借？,0
5f714dea3cd0e4279c275e1c,VPN 已連線成功，仍無法使用某電子資源？,7
5f714dea3cd0e4279c275e1d,圖書館有訂The Wall Street Journal 華爾街日報嗎？,6
5f714dea3cd0e4279c275e1e,校友如何在圖書館使用wifi無線網路？,4
5f714dea3cd0e4279c275e1f,逾期滯還金如何計算？,0
5f714dea3cd0e4279c275e20,預約書到館多久沒去借，會被取消該預約書的借書權利？,0
5f714dea3cd0e4279c275e21,圖書館有可以讓同學們討論報告的地方嗎？,4
5f714dea3cd0e4279c275e22,如何訂閱圖書館的電子報(電子新聞)？,9
5f714dea3cd0e4279c275e23,哪些身分可用 VPN？休（退）學、畢業、校友、校外人士是否可用？,7
5f714dea3cd0e4279c275e24,校友可以使用圖書館資料庫嗎？,6
5f714dea3cd0e4279c275e25,畢業後還可以用 EndNote書目管理軟體嗎？,10
5f714dea3cd0e4279c275e26,校友可借出總圖書館多媒體服務中心的影片嗎？,0
5f714dea3cd0e4279c275e27,繳交年費享有借書權利的校友，可以透過三校聯盟到台師大、台科大的圖書館借書嗎？,0
5f714dea3cd0e4279c275e28,圖書館有收錄台大早期的學士畢業論文嗎？,1
5f714dea3cd0e4279c275e29,如何借用討論室？,4
