_id,LibraryName,ID,Question,Answer,Category,Keyword,RelatedQ,adjusted_Category
5f714dea3cd0e4279c275df7,國立台灣大學圖書館,true,請問本校讀者如何利用「自動化書庫特殊館藏」、「自動化書庫參考書」？,「自動化書庫特殊館藏」和「自動化書庫參考書」是屬於不可外借的資料，只能於書庫服務中心內閱覽。本校讀者可透過以下2種方式利用：1.先行於本館SLIM系統線上申請預約，當預約書出庫（約2分鐘時間）後，系統將自動發送取書通知信通知您前往利用。2.請親至自動化書庫服務中心臨櫃申請出庫，在書庫服務中心出庫服務時間內申請/預約在庫圖書，只需稍候2分鐘即可取書。,借閱規則及服務,"[""ASRS"",""自動化書庫"",""自動化書庫服務中心"",""綜合教學館"",""綜合教室"",""綜合大樓"",""預約"",""調閱"",""借書""]","["" 請問本校讀者如何利用自動化書庫的一般館藏?"",""本校讀者預約自動化書庫的館藏，多久後可以取書?"",""無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎?""]",借閱規則及服務
5f714dea3cd0e4279c275df8,國立台灣大學圖書館,2,無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎？,無借書權利的校友或校外讀者欲使用自動化書庫館藏時，請親至書庫服務中心臨櫃申請，僅能申請仍在本書庫內的圖書，且須於中心內使用。,借閱規則及服務,"[""ASRS"",""自動化書庫"",""自動化書庫服務中心"",""綜合教學館"",""綜合教室"",""綜合大樓"",""預約"",""調閱"",""借書"",""校外"",""校外人士"",""外校""]","[""請問本校讀者如何利用「自動化書庫特殊館藏」、「自動化書庫參考書」?"",""自動化書庫在哪裡?""]",借閱規則及服務
5f714dea3cd0e4279c275df9,國立台灣大學圖書館,3,自動化書庫在哪裡？,「自動化書庫服務中心」位於本校綜合教學館1樓如下圖 (地圖)，開放時間為週一至週五的9:00-17:00，館藏預約申請方式、閉館與維修日等相關服務資訊請參見使用須知網頁。 若有需要協助之處，歡迎直接洽詢本館自動化書庫服務中心。 信箱：ntulibcs@ntu.edu.tw 電話：(02)3366-9836 網頁：http://www.lib.ntu.edu.tw/asrs,館藏資料位置,"[""ASRS"",""自動化書庫"",""自動化書庫服務中心"",""調閱"",""綜合教學館"",""綜合教室"",""綜合大樓"",""預約""]","["" 請問本校讀者如何利用「自動化書庫特殊館藏」、「自動化書庫參考書」?"","" 本校讀者預約自動化書庫的館藏，多久後可以取書?"","" 無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎?"","" 我想查的台大博碩士論文沒有電子全文怎麼辦?"","" 請問博碩士論文在哪裡?""]",館藏資料位置
5f714dea3cd0e4279c275dfa,國立台灣大學圖書館,4,本校讀者預約自動化書庫的館藏，多久後可以取書？,一旦預約書已可取件，SLIM系統將顯示訊息於個人紀錄，並將以電子郵件方式通知您。所需時間說明如下： 一般情況下，預約後只需2分鐘左右時間就會完成出庫，並後續通知您取書。 於出庫服務時間（開館日9:00-16:40）預約： 若您選擇在「自動化書庫服務中心」取件，只要在中心開館時間內（9:00-17:00）即可現場借閱。 若您選擇在他館取件，我們將於次個工作日傳送至指定館，並通知您借閱。 於非出庫服務時間（開館日9:00-16:40之外的時間、閉館日）預約： 若您選擇在「自動化書庫服務中心」取件，我們將在開館後通知您取件，只要在中心開館時間內（9:00-17:00）都可借閱。 若您選擇在他館取件，我們將於次兩個工作日傳送至指定館，並通知您借閱。,借閱規則及服務,"[""ASRS"",""自動化書庫"",""自動化書庫服務中心"",""綜合教學館"",""綜合教室"",""綜合大樓"",""預約"",""調閱""]","["" 無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎?"","" 自動化書庫在哪裡?"","" 請問本校讀者如何利用「自動化書庫特殊館藏」、「自動化書庫參考書」?""]",借閱規則及服務
5f714dea3cd0e4279c275dfb,國立台灣大學圖書館,5,請問本校讀者如何利用自動化書庫的一般館藏？,本校讀者欲利用「自動化書庫一般館藏」，可透過以下2種方式：先行於本館SLIM系統線上申請預約，並選擇於自動化書庫服務中心取書或您方便取件的圖書館（如：總圖、辜圖、數圖、醫圖…），當預約書出庫並傳送至指定取書館時，系統將自動發送取書通知信通知您前往借閱。請親至自動化書庫服務中心臨櫃申請出庫，在書庫服務中心出庫服務時間內申請/預約在庫圖書，只需2分鐘即可取書。,借閱規則及服務,"[""ASRS"",""自動化書庫"",""自動化書庫服務中心"",""綜合教學館"",""綜合教室"",""綜合大樓"",""預約"",""調閱""]","["" 本校讀者預約自動化書庫的館藏，多久後可以取書?"","" 自動化書庫在哪裡?"","" 無借書權利的校友或校外人士，可使用自動化書庫的館藏嗎?""]",借閱規則及服務
5f714dea3cd0e4279c275dfc,國立台灣大學圖書館,6,為什麼圖書館不接受我的預約？,以下幾種情形恕不接受預約： 1. 屬於無預約權限的讀者身分 (如：台科大師生、台師大師生) 2. 讀者目前有圖書逾期未還、逾期滯還金未繳或賠書手續未完成，或有封鎖之情形。 3. 超過預約冊數上限 4. 自己正在借閱的書 5. 自己正在預約的書 6. 該資料屬於不接受預約的類型 7. 以下五種館藏狀態才可申請預約，其餘狀態無法預約： (1) 到期yyyy/mm/dd (On loan until yyyy/mm/dd)：表示此館藏已借出 (2) 訂購中 (On order) (3) 編目中 (In process of catalog) (4) 預約書架直到yyyy/mm/dd (On hold shelf until yyyy/mm/dd) (5) 傳遞中 (In transit),借閱規則及服務,"[""預約"",""不能預約"",""無法預約"",""不被預約""]","[""我所預約的書在什麼情況下，會被取消預約?""]",借閱規則及服務
5f714dea3cd0e4279c275dfd,國立台灣大學圖書館,7,查詢國內外博碩士論文資料應使用那些資料庫？,"請您利用圖書館首頁點選「資料庫」，利用畫面左方「依資料類型瀏覽」，選擇「博碩士論文」即可列出本館可查詢國內外博碩士論文之資料庫。 【臺灣地區】 1. 臺灣博碩士論文知識加值系統：國家圖書館建置，註冊會員後可下載部分已獲授權之論文。免費資料庫，不限臺大校園網域使用。 2. 華藝線上圖書館 (中文電子學位論文服務--CETD)：收錄臺灣大學、淡江大學、中山醫學大學、中興大學、元智大學、高雄醫學大學、中國醫藥大學、臺北藝術大學、長榮大學、清華大學、臺北科技大學、臺灣師範大學等的碩博士論文。 各大學或資料中心紛紛在原有圖書館館藏目錄查詢系統之外建置該校之博碩士論文查詢系統，提供書目及摘要外，另有全文下載功能。例如：中山大學學位論文全文系統、成功大學數位論文全文系統、臺灣師範大學博碩士論文系統等等。   【中國大陸地區】 中國優秀碩士論文/博士論文全文數據庫 (CNKI)：可查詢1999年迄今中國大陸各學科領域之博碩士論文，本館已購置的專輯與年份如下所示： 優秀碩士學位論文：可使用全文年代包含全部專輯(1999-2011)、政軍法與經管專輯(1999-2012)、文史哲專輯(1999-2019)、教育社科綜合專輯(1999-2017)。 博士學位論文：可使用全文年代包含全部專輯(1999-2011)、政軍法與經管專輯(1999-2012)、文史哲專輯(1999-2019)、教育社科綜合專輯(1999-2017)。   【日本】 IRDB (Institutional Repositories Database) 是日本學術機構典藏資料庫整合平台（前身為JAIRO），若要查詢學位論文，請將檢索介面切換成「詳細檢索」，「資源タイプ」欄位選擇學位論文，即可限定學位論文進行查找，並下載全文PDF檔案，使用方式請詳見此文章。   【韓國】 RISS (學術研究情報服務 학술연구정보서비스)：由 KERIS (韓國教育學術情報院한국교육학술정보원) 製作的資料庫，可查找韓國各大學的學位論文，使用方式請詳見此文章。   【美國與加拿大地區】 1. PQDT（ProQuest Dissertations & Theses)：收錄1861年以後美加地區博碩士論文，僅提供書目及摘要，全文須自行購買。部分論文提供免費預覽前24頁之內容，查詢與獲取全文的方式請見此文章。 2. 數位化論文典藏聯盟資料庫：匯集國內90多個圖書館相關單位購置之美國ProQuest公司出版之數位博碩士論文全文影像，即PQDT的全文。 3. American Doctoral Dissertations, 1933 – 1955 [EBSCOhost]：美國博士論文檔案資料庫 1933-1955(American Doctoral Dissertations 1933-1955)收錄約有100,000筆從1933年至1955間的論文文獻。該資料庫是唯一收錄1933-1955年間，被美國大學所承認的博士論文最完整的檔案資料庫。   【澳洲、紐西蘭地區】 Trove：澳洲國家圖書館提供澳洲及紐西蘭各項資源搜尋網站，包含博碩士論文、期刊文獻、書籍、回溯檔案、報紙、圖片等。免費資料庫，不限臺大校園網域使用。 查閱澳洲博碩士論文(紙本及電子版)(Print & Digital)，請點選此連結。 查閱澳洲博碩士論文(限電子版)(Digital only)，請點選此連結。 (原Australasian Digital Theses Program – ADT Program至2011/3/28停止運作，改為Trove網站) 部分論文可免費直接下載全文，其他無法下載全文者，讀者可透過全國文獻傳遞服務系統(NDDS)申請，請填妥【國外圖書館複印申請件】，備註欄註明「購買澳洲博碩士論文」，由本館代為向申請ADT Program提出申請。   【歐洲地區】 1. EThOS: Electronic Theses Online Service：大英圖書館提供的學位論文服務，提供大英地區各校機構典藏中公開取用的電子博士學位論文。下載論文請註冊個人帳號 ，免費資料庫，不限臺大校園網域使用。 2. DART-Europe E-theses Portal：歐洲電子學位論文的入口，可以公開取用歐洲近30個國家地區的學位論文。免費資料庫，不限臺大校園網域使用。   【其他】 ETD Digital Library（Networked Digital Library of Theses and Dissertations－ NDLTD）： 網路碩博士論文數位化圖書館計畫，它是一個整合國際論文資源的電子圖書合性檢索可檢索參與計畫單位之論文，另外更列出許多大學及研究機構博碩士論文的網址。免費資料庫，不限臺大校園網域使用。   ※ 詳細說明請參考此文章 » 學位論文資料哪裏找呢？ ※ 申請外國大學博碩士論文的館際合作服務請詳見此網頁  如果無法從上述管道取得所需的博碩士論文，臺大師生可透過本校圖書館館際合作服務申請國內外論文借閱或複印。臺大師生申請個人NDDS 帳號後，進入NDDS系統，先選擇申請「複印」或「借書」，再點「國內」或「國外」選項，然後填寫論文題名、撰者、畢業學校和論文畢業年；如為複印申請，需標示申請起迄頁。傳遞方式，借書請選擇「掛號」，複印請選Ariel (館對館影像檔傳送)。本館將嘗試向作者畢業的學校圖書館申請借閱或複印論文，無論成功與否，皆會e-mail告知申請結果。如申請成功，再請您至總圖書館一樓流通櫃台繳款取件。",如何查詢學位論文,"[""論文"",""博士論文"",""碩士論文"",""博碩士論文"",""資料庫"",""畢業論文"",""PQDT"",""學位論文"",""JAIRO"",""RISS"",""國圖"",""華藝"",""CNKI"",""美國"",""加拿大"",""中國"",""日本"",""韓國"",""南韓"",""歐洲"",""電子論文"",""數位化論文"",""澳洲"",""紐西蘭"",""英國"",""Trove"",""NDLTD"",""IRDB"",""Institutional"",""Repositories""]","["" 我想查的台大博碩士論文沒有電子全文怎麼辦?"","" 我想借的書，台大圖書館沒有收藏，怎麼辦?"",""可以幫我去其他學校圖書館借嗎?"","" 我在臺大是第一次申請NDDS全國文獻傳遞服務系統，但系統顯示 ID (身份證號重覆) 無法註冊成功?"","" 圖書館有收錄台大早期的學士畢業論文嗎?""]",查找館藏資料
5f714dea3cd0e4279c275dfe,國立台灣大學圖書館,8,請問如何調閱閉架書庫的圖書和期刊？（研圖、舊總圖、總圖B1專藏文庫、總圖B1閉架書庫、徐州閉架書庫）,查詢館藏目錄時，如果書刊館藏地是「研圖」、「舊總圖」、「總圖B1專藏文庫」、「總圖B1閉架書庫」、「徐州閉架書庫」表示為閉架典藏，必須申請調閱服務方能使用。本校及校外讀者均可於線上提出申請，詳細操作步驟與服務資訊請參見「閉架書庫調閱服務」網頁。 待書刊調閱到館後，本館會以E-mail通知您來圖書館使用，取件地點如下： 館藏地位於研圖、舊總圖、總圖B1專藏文庫、總圖B1閉架書庫之館藏申請件，請至總圖書館1樓流通服務臺取件。（信箱tulcir@ntu.edu.tw、電話02-3366-2353） 館藏地位於徐州閉架書庫之館藏申請件，請至社科院辜振甫圖書館1樓櫃臺取件。（信箱ntukoolib@ntu.edu.tw、電話02-3366-8300 #55600） 如果您無法在網頁上填寫申請單，敬請提供欲調閱書籍的書名、作者、條碼號（若是期刊請註明年代與卷期），以及個人的聯絡方式（姓名、系所、電子信箱），寄至本館流通服務信箱 tulcir@ntu.edu.tw，或親至總圖書館一樓流通服務臺臨櫃填寫申請單。,館藏資料位置,"[""調閱"",""研圖"",""舊總圖"",""舊總圖書庫"",""閉架"",""閉架書庫調閱服務"",""館藏地"",""徐州閉架書庫"",""找不到"",""社圖"",""辜振甫圖書館"",""總圖B1專藏文庫""]","["" 在本館SLIM系統查到的圖書，為何書架上找不到?"","" 辜振甫圖書館在哪裡?""]",館藏資料位置
5f714dea3cd0e4279c275dff,國立台灣大學圖書館,9,我的畢業論文不到20頁，要放在書背側邊的校名與系所有兩行字、論文題目也很長，請問應如何調整內容以利印製？,書背側邊的文字可以縮小，論文題目也可以兩行排版，或縮小字體。 如果不到20頁可以單面列印，前面加一頁空白頁，後面多加幾頁空白頁。 詳細說明請見臺大學位論文格式規範、論文繳交及離校手續網頁。,論文繳交與畢業離校,"[""論文"",""碩士論文"",""博士論文"",""學位論文"",""列印"",""印製"",""印刷"",""格式"",""頁數"",""畢業"",""繳交"",""書背"",""側邊""]","["" 畢業論文的字體大小和版面間距，一定要按格式規範的尺寸嗎?"","" 畢業論文封面和內文格式的相關規定?"","" 送印紙本論文須注意哪些項目?""]",論文繳交與畢業離校
5f714dea3cd0e4279c275e00,國立台灣大學圖書館,10,送印紙本論文須注意哪些項目？,紙本論文須有封面(含側邊資料)，並裝訂經口試委員簽名之審定書，授權書則不需裝訂。 您可依「臺大學位論文格式規範」製作封面word檔，連同上傳通過之PDF檔一併送印。 詳細圖示請見「論文繳交及離校手續」第7項之說明。,論文繳交與畢業離校,"[""論文"",""學位論文"",""博士"",""碩士"",""畢業論文"",""畢業"",""離校"",""格式"",""PDF"",""紙本論文"",""送印"",""列印"",""複印"",""印出"",""檔案"",""電子論文"",""繳交"",""口試"",""全文"",""授權"",""電子全文授權"",""授權變更""]","[""超過截止日還能繳交紙本論文和上傳電子論文嗎?"",""畢業論文封面和內文格式的相關規定?"",""畢業論文的字體大小和版面間距，一定要按格式規範的尺寸嗎?""]",論文繳交與畢業離校
